run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
16;110.824393982;-5543;-4616;-3937;38;19;../results/snrpa_100_1_1_100_100//solve16_sequences.csv
6;154.577291125;-5757;-3674;-3198;42;21;../results/snrpa_100_1_1_100_100//solve6_sequences.csv
50;162.342385469;-5673;-3600;-3014;34;17;../results/snrpa_100_1_1_100_100//solve50_sequences.csv
81;223.008924047;-6030;-3717;-2196;46;23;../results/snrpa_100_1_1_100_100//solve81_sequences.csv
93;237.434302558;-5957;-3989;-2070;50;25;../results/snrpa_100_1_1_100_100//solve93_sequences.csv
12;268.145519336;-6084;-1957;-959;36;18;../results/snrpa_100_1_1_100_100//solve12_sequences.csv
75;296.058608005;-5718;-4520;-3379;74;37;../results/snrpa_100_1_1_100_100//solve75_sequences.csv
18;320.452715739;-6297;-1110;-439;34;17;../results/snrpa_100_1_1_100_100//solve18_sequences.csv
87;363.953262538;-6255;-3600;-1180;64;32;../results/snrpa_100_1_1_100_100//solve87_sequences.csv
15;366.449112597;-5615;-3398;-2459;84;42;../results/snrpa_100_1_1_100_100//solve15_sequences.csv
94;136.07003538;-5358;-3891;-3710;44;22;../results/snrpa_100_1_1_100_100//solve94_sequences.csv
82;164.583970114;-5733;-4745;-3263;48;24;../results/snrpa_100_1_1_100_100//solve82_sequences.csv
0;399.263228587;-6124;-3788;-1823;78;39;../results/snrpa_100_1_1_100_100//solve0_sequences.csv
3;447.261151042;-6362;-2756;-770;74;37;../results/snrpa_100_1_1_100_100//solve3_sequences.csv
19;140.392458854;-5293;-4269;-4894;44;22;../results/snrpa_100_1_1_100_100//solve19_sequences.csv
13;260.127985675;-5877;-4979;-2491;70;35;../results/snrpa_100_1_1_100_100//solve13_sequences.csv
25;543.0737055;-6386;-1289;-505;56;28;../results/snrpa_100_1_1_100_100//solve25_sequences.csv
51;384.923856415;-6124;-2555;-873;50;25;../results/snrpa_100_1_1_100_100//solve51_sequences.csv
17;442.355994025;-6185;-4386;-1484;76;38;../results/snrpa_100_1_1_100_100//solve17_sequences.csv
83;217.35998355;-5970;-2050;-1459;30;15;../results/snrpa_100_1_1_100_100//solve83_sequences.csv
88;242.699976457;-6313;-2893;-1255;42;21;../results/snrpa_100_1_1_100_100//solve88_sequences.csv
62;637.685735633;-6345;-2495;-422;86;43;../results/snrpa_100_1_1_100_100//solve62_sequences.csv
20;195.73999508;-5379;-3602;-3734;54;27;../results/snrpa_100_1_1_100_100//solve20_sequences.csv
89;108.907979147;-5219;-3280;-4121;28;14;../results/snrpa_100_1_1_100_100//solve89_sequences.csv
21;167.583928821;-5166;-3771;-4118;50;25;../results/snrpa_100_1_1_100_100//solve21_sequences.csv
52;187.163974266;-5759;-4311;-2889;50;25;../results/snrpa_100_1_1_100_100//solve52_sequences.csv
7;588.72799058;-6281;-2454;-662;74;37;../results/snrpa_100_1_1_100_100//solve7_sequences.csv
26;217.671966947;-5706;-3874;-2409;44;22;../results/snrpa_100_1_1_100_100//solve26_sequences.csv
76;485.835983683;-6414;-1566;-319;58;29;../results/snrpa_100_1_1_100_100//solve76_sequences.csv
14;276.319978801;-5869;-2378;-1303;42;21;../results/snrpa_100_1_1_100_100//solve14_sequences.csv
84;211.59597778;-5534;-4301;-3558;50;25;../results/snrpa_100_1_1_100_100//solve84_sequences.csv
68;491.427983646;-6293;-4515;-1245;80;40;../results/snrpa_100_1_1_100_100//solve68_sequences.csv
95;484.711985077;-6135;-2691;-1028;62;31;../results/snrpa_100_1_1_100_100//solve95_sequences.csv
71;156.615647591;-5351;-2959;-2933;30;15;../results/snrpa_100_1_1_100_100//solve71_sequences.csv
27;147.807987806;-5350;-3057;-3218;36;18;../results/snrpa_100_1_1_100_100//solve27_sequences.csv
28;92.415985643;-4820;-3895;-5163;34;17;../results/snrpa_100_1_1_100_100//solve28_sequences.csv
90;352.211972488;-6192;-2468;-1109;46;23;../results/snrpa_100_1_1_100_100//solve90_sequences.csv
77;267.355982707;-5699;-4787;-2123;68;34;../results/snrpa_100_1_1_100_100//solve77_sequences.csv
9;261.439980619;-5900;-3916;-2267;54;27;../results/snrpa_100_1_1_100_100//solve9_sequences.csv
63;444.307976829;-6493;-1298;-350;44;22;../results/snrpa_100_1_1_100_100//solve63_sequences.csv
4;639.167973929;-6224;-1994;-404;82;41;../results/snrpa_100_1_1_100_100//solve4_sequences.csv
8;356.34397533;-5914;-3415;-1943;70;35;../results/snrpa_100_1_1_100_100//solve8_sequences.csv
1;735.667985153;-6523;-1390;-239;72;36;../results/snrpa_100_1_1_100_100//solve1_sequences.csv
69;291.911976437;-6268;-1433;-677;30;15;../results/snrpa_100_1_1_100_100//solve69_sequences.csv
96;331.203986242;-6292;-1533;-591;38;19;../results/snrpa_100_1_1_100_100//solve96_sequences.csv
72;318.75232578;-6429;-470;-144;30;15;../results/snrpa_100_1_1_100_100//solve72_sequences.csv
5;180.019996612;-5768;-3464;-2630;34;17;../results/snrpa_100_1_1_100_100//solve5_sequences.csv
73;243.083983636;-5558;-4207;-3089;66;33;../results/snrpa_100_1_1_100_100//solve73_sequences.csv
