run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
0;467.053386031;-6571;-7;-3;4;2;../results/snrpa_100_2_1_50_100//solve0_sequences.csv
50;1332.70988013;-4459;-3022;-5111;26;13;../results/snrpa_100_2_1_50_100//solve50_sequences.csv
25;1694.759369314;-5085;-3789;-4702;28;14;../results/snrpa_100_2_1_50_100//solve25_sequences.csv
75;2905.837690576;-5850;-3077;-2876;28;14;../results/snrpa_100_2_1_50_100//solve75_sequences.csv
1;2801.715432883;-5627;-2615;-2751;28;14;../results/snrpa_100_2_1_50_100//solve1_sequences.csv
9;3626.173649247;-6434;-370;-144;24;12;../results/snrpa_100_2_1_50_100//solve9_sequences.csv
6;4189.569295496;-5999;-2048;-1391;28;14;../results/snrpa_100_2_1_50_100//solve6_sequences.csv
18;4425.949541164;-6335;-1333;-948;28;14;../results/snrpa_100_2_1_50_100//solve18_sequences.csv
12;4534.168423561;-6448;-727;-350;26;13;../results/snrpa_100_2_1_50_100//solve12_sequences.csv
26;3853.671435105;-6170;-2208;-1601;26;13;../results/snrpa_100_2_1_50_100//solve26_sequences.csv
51;4418.903490298;-6268;-791;-364;24;12;../results/snrpa_100_2_1_50_100//solve51_sequences.csv
2;3053.470365037;-5204;-2205;-2821;32;16;../results/snrpa_100_2_1_50_100//solve2_sequences.csv
10;2894.544553402;-5741;-3696;-3791;30;15;../results/snrpa_100_2_1_50_100//solve10_sequences.csv
7;2745.492927226;-5683;-3156;-3383;28;14;../results/snrpa_100_2_1_50_100//solve7_sequences.csv
52;1369.640107734;-6566;-36;-11;8;4;../results/snrpa_100_2_1_50_100//solve52_sequences.csv
76;5079.139907856;-6382;-1604;-873;30;15;../results/snrpa_100_2_1_50_100//solve76_sequences.csv
27;3305.885535117;-5830;-2818;-2205;28;14;../results/snrpa_100_2_1_50_100//solve27_sequences.csv
13;4918.70853135;-5989;-2676;-1978;40;20;../results/snrpa_100_2_1_50_100//solve13_sequences.csv
53;2958.415544969;-5560;-3429;-3284;30;15;../results/snrpa_100_2_1_50_100//solve53_sequences.csv
77;2172.033179917;-5517;-3483;-4254;28;14;../results/snrpa_100_2_1_50_100//solve77_sequences.csv
19;6287.287749328;-6039;-2363;-1284;42;21;../results/snrpa_100_2_1_50_100//solve19_sequences.csv
8;4043.236980337;-6261;-1225;-796;26;13;../results/snrpa_100_2_1_50_100//solve8_sequences.csv
3;5432.938779557;-6428;-1165;-448;30;15;../results/snrpa_100_2_1_50_100//solve3_sequences.csv
11;5621.981136049;-6475;-530;-155;26;13;../results/snrpa_100_2_1_50_100//solve11_sequences.csv
28;3392.287794244;-5950;-2968;-1937;32;16;../results/snrpa_100_2_1_50_100//solve28_sequences.csv
20;3073.8220797;-5861;-2374;-2079;26;13;../results/snrpa_100_2_1_50_100//solve20_sequences.csv
16;1687.543688379;-4852;-3396;-4614;24;12;../results/snrpa_100_2_1_50_100//solve16_sequences.csv
14;4639.178855423;-6358;-812;-454;26;13;../results/snrpa_100_2_1_50_100//solve14_sequences.csv
54;4180.205752461;-6340;-554;-303;24;12;../results/snrpa_100_2_1_50_100//solve54_sequences.csv
78;4170.322000842;-6168;-966;-796;26;13;../results/snrpa_100_2_1_50_100//solve78_sequences.csv
29;2623.928624712;-5515;-2522;-2891;26;13;../results/snrpa_100_2_1_50_100//solve29_sequences.csv
4;3361.669776972;-5767;-3267;-2940;40;20;../results/snrpa_100_2_1_50_100//solve4_sequences.csv
15;4573.530902873;-6353;-1692;-1022;28;14;../results/snrpa_100_2_1_50_100//solve15_sequences.csv
17;2090.764720561;-5061;-2507;-3276;22;11;../results/snrpa_100_2_1_50_100//solve17_sequences.csv
55;2088.182791394;-5428;-3796;-4584;28;14;../results/snrpa_100_2_1_50_100//solve55_sequences.csv
79;2323.380023243;-5560;-3605;-4332;28;14;../results/snrpa_100_2_1_50_100//solve79_sequences.csv
5;2773.720930342;-5824;-2706;-2648;28;14;../results/snrpa_100_2_1_50_100//solve5_sequences.csv
21;4283.373397404;-5998;-1821;-1405;30;15;../results/snrpa_100_2_1_50_100//solve21_sequences.csv
62;4036.651802934;-6244;-1388;-812;28;14;../results/snrpa_100_2_1_50_100//solve62_sequences.csv
30;3498.490527254;-6432;-447;-305;18;9;../results/snrpa_100_2_1_50_100//solve30_sequences.csv
68;3349.276846294;-6333;-630;-495;20;10;../results/snrpa_100_2_1_50_100//solve68_sequences.csv
66;1043.821608797;-4505;-3594;-5803;24;12;../results/snrpa_100_2_1_50_100//solve66_sequences.csv
56;3583.522914581;-5479;-3079;-3216;38;19;../results/snrpa_100_2_1_50_100//solve56_sequences.csv
