run_index;run_time;lowest_reward;reward;highest_reward;action_count;team_action_count;sequence_file_path
25;2.96694752;-4652;-4277;-5341;44;22;../results/snrpa_100_1_1_100_100_os//solve25_sequences.csv
0;3.560232446;-5245;-4220;-4317;48;24;../results/snrpa_100_1_1_100_100_os//solve0_sequences.csv
50;4.854763399;-5919;-4956;-2940;66;33;../results/snrpa_100_1_1_100_100_os//solve50_sequences.csv
3;6.136087299;-5512;-3344;-2501;38;19;../results/snrpa_100_1_1_100_100_os//solve3_sequences.csv
12;8.135731248;-6244;-3359;-899;68;34;../results/snrpa_100_1_1_100_100_os//solve12_sequences.csv
6;8.806829058;-6345;-1625;-346;52;26;../results/snrpa_100_1_1_100_100_os//solve6_sequences.csv
9;9.445822903;-6350;-3205;-561;140;70;../results/snrpa_100_1_1_100_100_os//solve9_sequences.csv
4;4.03251261;-5473;-5403;-4690;62;31;../results/snrpa_100_1_1_100_100_os//solve4_sequences.csv
37;11.030083303;-6494;-433;-97;32;16;../results/snrpa_100_1_1_100_100_os//solve37_sequences.csv
26;8.763948574;-6102;-3162;-864;80;40;../results/snrpa_100_1_1_100_100_os//solve26_sequences.csv
1;8.846668742;-6264;-4766;-554;128;64;../results/snrpa_100_1_1_100_100_os//solve1_sequences.csv
51;8.007075899;-6170;-2840;-872;156;78;../results/snrpa_100_1_1_100_100_os//solve51_sequences.csv
13;6.241210573;-5905;-4040;-2313;92;46;../results/snrpa_100_1_1_100_100_os//solve13_sequences.csv
7;7.395998032;-6251;-3318;-899;96;48;../results/snrpa_100_1_1_100_100_os//solve7_sequences.csv
10;7.257773277;-6214;-4962;-1400;122;61;../results/snrpa_100_1_1_100_100_os//solve10_sequences.csv
38;5.737486125;-6184;-3927;-1986;78;39;../results/snrpa_100_1_1_100_100_os//solve38_sequences.csv
27;5.247886856;-5683;-4825;-2194;88;44;../results/snrpa_100_1_1_100_100_os//solve27_sequences.csv
5;8.605247941;-6257;-5087;-669;118;59;../results/snrpa_100_1_1_100_100_os//solve5_sequences.csv
2;7.524153853;-6127;-2832;-1237;56;28;../results/snrpa_100_1_1_100_100_os//solve2_sequences.csv
39;3.628960043;-5121;-4733;-4332;64;32;../results/snrpa_100_1_1_100_100_os//solve39_sequences.csv
14;7.286968247;-6206;-4846;-1067;90;45;../results/snrpa_100_1_1_100_100_os//solve14_sequences.csv
52;10.275487633;-6321;-5186;-453;126;63;../results/snrpa_100_1_1_100_100_os//solve52_sequences.csv
28;6.198615099;-5951;-4077;-1440;68;34;../results/snrpa_100_1_1_100_100_os//solve28_sequences.csv
11;7.548333025;-6079;-5709;-1422;96;48;../results/snrpa_100_1_1_100_100_os//solve11_sequences.csv
8;9.248658941;-6414;-2032;-606;80;40;../results/snrpa_100_1_1_100_100_os//solve8_sequences.csv
75;7.64573765;-6235;-3575;-1147;82;41;../results/snrpa_100_1_1_100_100_os//solve75_sequences.csv
29;6.81203618;-5882;-4157;-1684;78;39;../results/snrpa_100_1_1_100_100_os//solve29_sequences.csv
76;3.57160604;-4689;-4085;-4872;70;35;../results/snrpa_100_1_1_100_100_os//solve76_sequences.csv
40;9.801709231;-6401;-2458;-551;94;47;../results/snrpa_100_1_1_100_100_os//solve40_sequences.csv
62;10.881326963;-6447;-3662;-291;130;65;../results/snrpa_100_1_1_100_100_os//solve62_sequences.csv
53;8.611320605;-6244;-4149;-942;104;52;../results/snrpa_100_1_1_100_100_os//solve53_sequences.csv
31;7.499444356;-6234;-4300;-1386;64;32;../results/snrpa_100_1_1_100_100_os//solve31_sequences.csv
41;2.336694347;-4322;-4158;-6300;44;22;../results/snrpa_100_1_1_100_100_os//solve41_sequences.csv
77;4.13274374;-5841;-4617;-3938;56;28;../results/snrpa_100_1_1_100_100_os//solve77_sequences.csv
15;12.795284052;-6571;-2708;-117;106;53;../results/snrpa_100_1_1_100_100_os//solve15_sequences.csv
68;9.638647014;-6411;-5318;-613;198;99;../results/snrpa_100_1_1_100_100_os//solve68_sequences.csv
54;4.450638021;-5506;-5330;-3772;90;45;../results/snrpa_100_1_1_100_100_os//solve54_sequences.csv
32;6.583239501;-5886;-3637;-2330;68;34;../results/snrpa_100_1_1_100_100_os//solve32_sequences.csv
30;8.591638932;-6249;-4630;-1307;88;44;../results/snrpa_100_1_1_100_100_os//solve30_sequences.csv
63;8.176960911;-6108;-2415;-1198;64;32;../results/snrpa_100_1_1_100_100_os//solve63_sequences.csv
42;6.933961957;-5767;-3845;-2383;70;35;../results/snrpa_100_1_1_100_100_os//solve42_sequences.csv
78;7.225670992;-5400;-2791;-2310;62;31;../results/snrpa_100_1_1_100_100_os//solve78_sequences.csv
69;7.014254244;-6001;-5029;-2361;66;33;../results/snrpa_100_1_1_100_100_os//solve69_sequences.csv
33;6.576726778;-5524;-3540;-2906;56;28;../results/snrpa_100_1_1_100_100_os//solve33_sequences.csv
55;9.27165084;-5939;-5721;-1494;104;52;../results/snrpa_100_1_1_100_100_os//solve55_sequences.csv
70;4.250995779;-5250;-4366;-4478;44;22;../results/snrpa_100_1_1_100_100_os//solve70_sequences.csv
16;14.186371736;-6571;-3950;-7;318;159;../results/snrpa_100_1_1_100_100_os//solve16_sequences.csv
71;10.093890174;-6007;-4458;-1032;68;34;../results/snrpa_100_1_1_100_100_os//solve71_sequences.csv
79;7.524723735;-5942;-3889;-1947;100;50;../results/snrpa_100_1_1_100_100_os//solve79_sequences.csv
43;11.344609494;-6396;-3792;-727;72;36;../results/snrpa_100_1_1_100_100_os//solve43_sequences.csv
56;6.124307082;-5828;-4344;-2669;48;24;../results/snrpa_100_1_1_100_100_os//solve56_sequences.csv
64;14.392652779;-6430;-4923;-304;136;68;../results/snrpa_100_1_1_100_100_os//solve64_sequences.csv
34;8.577792059;-6113;-4870;-1567;64;32;../results/snrpa_100_1_1_100_100_os//solve34_sequences.csv
59;7.976289572;-5186;-4426;-2577;108;54;../results/snrpa_100_1_1_100_100_os//solve59_sequences.csv
80;5.984876112;-5457;-5330;-3733;130;65;../results/snrpa_100_1_1_100_100_os//solve80_sequences.csv
44;4.963173665;-4833;-4233;-4684;44;22;../results/snrpa_100_1_1_100_100_os//solve44_sequences.csv
72;9.685088526;-5974;-2156;-1285;64;32;../results/snrpa_100_1_1_100_100_os//solve72_sequences.csv
57;9.072464594;-5869;-4849;-1616;84;42;../results/snrpa_100_1_1_100_100_os//solve57_sequences.csv
60;7.578731798;-5923;-4120;-2214;88;44;../results/snrpa_100_1_1_100_100_os//solve60_sequences.csv
45;6.287463013;-5743;-4225;-3135;40;20;../results/snrpa_100_1_1_100_100_os//solve45_sequences.csv
35;9.546516259;-5980;-5784;-1338;116;58;../results/snrpa_100_1_1_100_100_os//solve35_sequences.csv
17;14.900254683;-6522;-608;-96;48;24;../results/snrpa_100_1_1_100_100_os//solve17_sequences.csv
65;13.231593581;-6293;-5886;-409;156;78;../results/snrpa_100_1_1_100_100_os//solve65_sequences.csv
46;4.962167336;-5559;-4432;-3828;46;23;../results/snrpa_100_1_1_100_100_os//solve46_sequences.csv
81;12.167996639;-6210;-5915;-552;108;54;../results/snrpa_100_1_1_100_100_os//solve81_sequences.csv
36;4.131338359;-5458;-4664;-4693;56;28;../results/snrpa_100_1_1_100_100_os//solve36_sequences.csv
58;7.905813253;-5765;-4156;-2196;68;34;../results/snrpa_100_1_1_100_100_os//solve58_sequences.csv
18;5.409534472;-5167;-4983;-4777;64;32;../results/snrpa_100_1_1_100_100_os//solve18_sequences.csv
61;9.181138248;-6020;-4485;-1429;86;43;../results/snrpa_100_1_1_100_100_os//solve61_sequences.csv
47;5.198802267;-5476;-4041;-4149;42;21;../results/snrpa_100_1_1_100_100_os//solve47_sequences.csv
73;14.182297338;-6414;-1529;-240;96;48;../results/snrpa_100_1_1_100_100_os//solve73_sequences.csv
87;8.395609125;-5921;-5431;-2250;86;43;../results/snrpa_100_1_1_100_100_os//solve87_sequences.csv
19;8.948697037;-6198;-4709;-2084;112;56;../results/snrpa_100_1_1_100_100_os//solve19_sequences.csv
82;10.980671926;-6264;-2791;-1036;62;31;../results/snrpa_100_1_1_100_100_os//solve82_sequences.csv
48;11.117241652;-6144;-5394;-832;120;60;../results/snrpa_100_1_1_100_100_os//solve48_sequences.csv
66;11.988360102;-6322;-2040;-648;76;38;../results/snrpa_100_1_1_100_100_os//solve66_sequences.csv
74;6.189888478;-5662;-4158;-3087;56;28;../results/snrpa_100_1_1_100_100_os//solve74_sequences.csv
84;7.926421672;-5948;-3882;-1854;60;30;../results/snrpa_100_1_1_100_100_os//solve84_sequences.csv
85;8.431701807;-5870;-4183;-1965;90;45;../results/snrpa_100_1_1_100_100_os//solve85_sequences.csv
88;5.500442095;-5767;-3995;-3230;48;24;../results/snrpa_100_1_1_100_100_os//solve88_sequences.csv
23;3.453692671;-5205;-4782;-5843;38;19;../results/snrpa_100_1_1_100_100_os//solve23_sequences.csv
20;6.778671656;-5888;-4328;-2823;54;27;../results/snrpa_100_1_1_100_100_os//solve20_sequences.csv
49;6.411254046;-5757;-4414;-2810;54;27;../results/snrpa_100_1_1_100_100_os//solve49_sequences.csv
86;4.822387494;-5338;-4972;-3614;72;36;../results/snrpa_100_1_1_100_100_os//solve86_sequences.csv
67;10.946504516;-6443;-3794;-634;102;51;../results/snrpa_100_1_1_100_100_os//solve67_sequences.csv
21;11.332966139;-6194;-2520;-953;52;26;../results/snrpa_100_1_1_100_100_os//solve21_sequences.csv
24;8.454915285;-5992;-5389;-1863;88;44;../results/snrpa_100_1_1_100_100_os//solve24_sequences.csv
89;9.486309441;-6275;-5898;-1533;122;61;../results/snrpa_100_1_1_100_100_os//solve89_sequences.csv
91;6.672331955;-5931;-4683;-3269;78;39;../results/snrpa_100_1_1_100_100_os//solve91_sequences.csv
83;14.786077741;-6482;-5744;-183;134;67;../results/snrpa_100_1_1_100_100_os//solve83_sequences.csv
93;8.565730027;-5773;-3900;-2076;68;34;../results/snrpa_100_1_1_100_100_os//solve93_sequences.csv
92;4.792335898;-4916;-4073;-4295;54;27;../results/snrpa_100_1_1_100_100_os//solve92_sequences.csv
96;8.721074188;-6347;-5185;-1227;104;52;../results/snrpa_100_1_1_100_100_os//solve96_sequences.csv
90;14.181741343;-6251;-2518;-311;130;65;../results/snrpa_100_1_1_100_100_os//solve90_sequences.csv
95;5.902466041;-6018;-4248;-3271;46;23;../results/snrpa_100_1_1_100_100_os//solve95_sequences.csv
99;7.684268866;-6003;-4403;-2498;52;26;../results/snrpa_100_1_1_100_100_os//solve99_sequences.csv
22;9.626198109;-6348;-3569;-918;84;42;../results/snrpa_100_1_1_100_100_os//solve22_sequences.csv
98;10.748694066;-6531;-3905;-388;86;43;../results/snrpa_100_1_1_100_100_os//solve98_sequences.csv
94;9.217132243;-6137;-2186;-827;74;37;../results/snrpa_100_1_1_100_100_os//solve94_sequences.csv
97;4.626700177;-5595;-4428;-2185;80;40;../results/snrpa_100_1_1_100_100_os//solve97_sequences.csv
